details,make,model,year,price,description,seller,color,transmission,mileage,condition,number_of_doors,location,fuel_type,image,is_sold
"Luxury sedan","BMW","5 Series",2021,60000.00,"A luxurious sedan designed for comfort and performance. Features advanced technology and a smooth ride, perfect for both business and pleasure.","sita_verma","Black","Automatic",15,"New",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/3/3b/2021_BMW_5_Series.jpg","FALSE"
"Compact SUV","Honda","CR-V",2020,35000.00,"Versatile compact SUV that blends style and utility. It offers ample cargo space and a comfortable interior, making it ideal for family trips.","anita_sharma","Blue","Automatic",14,"Used",4,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/1/1b/2020_Honda_CR-V.jpg","FALSE"
"Sporty coupe","Ford","Mustang",2019,55000.00,"Classic American muscle car with aggressive styling. Delivers impressive performance and exhilarating handling on any road.","vikram_rao","Red","Manual",12,"Used",2,"Bangalore","Petrol","https://upload.wikimedia.org/wikipedia/commons/d/d9/2019_Ford_Mustang.jpg","FALSE"
"Family minivan","Toyota","Sienna",2021,40000.00,"Spacious family minivan that prioritizes safety and convenience. It features flexible seating arrangements and advanced infotainment options.","priya_mishra","Silver","Automatic",13,"New",4,"Kolkata","Petrol","https://upload.wikimedia.org/wikipedia/commons/7/7b/2021_Toyota_Sienna.jpg","FALSE"
"Electric hatchback","Tesla","Model 3",2022,45000.00,"Innovative electric car that combines performance with sustainability. Enjoy high-tech features and zero emissions for a greener future.","aman_jain","White","Automatic",15,"New",4,"Hyderabad","Electric","https://upload.wikimedia.org/wikipedia/commons/5/5b/Tesla_Model_3_2021.jpg","FALSE"
"Luxury SUV","Mercedes-Benz","GLE",2020,75000.00,"Luxury SUV equipped with state-of-the-art technology and a plush interior. Ideal for those who demand elegance and performance in one package.","neha_chopra","Black","Automatic",10,"Used",4,"Pune","Diesel","https://upload.wikimedia.org/wikipedia/commons/e/e6/2020_Mercedes-Benz_GLE_450.jpg","FALSE"
"Compact sedan","Hyundai","Elantra",2018,18000.00,"Reliable compact sedan with excellent fuel economy. It offers a comfortable ride and is loaded with modern safety features.","raj_kapoor","Gray","Automatic",15,"Used",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/0/05/2018_Hyundai_Elantra.jpg","FALSE"
"Off-road vehicle","Jeep","Wrangler",2021,50000.00,"Rugged off-road vehicle with exceptional capability. Built to tackle any terrain, it offers a thrilling driving experience.","sita_verma","Green","Manual",12,"New",2,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/e/e1/2021_Jeep_Wrangler.jpg","FALSE"
"Performance sedan","Audi","A4",2019,40000.00,"Performance sedan that merges luxury with sporty dynamics. Experience an exquisite interior and a powerful engine.","priya_mishra","White","Automatic",14,"Used",4,"Bangalore","Petrol","https://upload.wikimedia.org/wikipedia/commons/4/4b/2019_Audi_A4.jpg","FALSE"
"City car","Kia","Rio",2020,15000.00,"Affordable and fuel-efficient city car. Its compact design makes it easy to navigate urban environments while providing great value.","vikram_rao","Red","Automatic",16,"Used",4,"Kolkata","Petrol","https://upload.wikimedia.org/wikipedia/commons/3/3f/2020_Kia_Rio.jpg","FALSE"
"Luxury coupe","Porsche","911",2021,95000.00,"Iconic sports car known for its performance and sleek design. Experience precision handling and unmatched acceleration.","priya_mishra","Black","Automatic",8,"New",2,"Hyderabad","Petrol","https://upload.wikimedia.org/wikipedia/commons/b/b3/2021_Porsche_911.jpg","FALSE"
"Family SUV","Nissan","Rogue",2021,35000.00,"Spacious SUV that is perfect for family outings. Offers advanced safety features and plenty of room for passengers and cargo.","aman_jain","Silver","Automatic",11,"New",4,"Pune","Petrol","https://upload.wikimedia.org/wikipedia/commons/2/2e/2021_Nissan_Rogue.jpg","FALSE"
"Compact hatchback","Volkswagen","Golf",2018,22000.00,"Stylish hatchback with a sporty feel. It combines practicality with fun driving dynamics, making it great for everyday use.","neha_chopra","Blue","Manual",14,"Used",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/a/a2/2018_Volkswagen_Golf.jpg","FALSE"
"Luxury SUV","Lexus","RX",2019,55000.00,"Luxurious SUV that provides a smooth and comfortable ride. Packed with features for ultimate comfort and convenience.","raj_kapoor","White","Automatic",10,"Used",4,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/4/45/2019_Lexus_RX.jpg","FALSE"
"Classic car","Chevrolet","Camaro",1969,60000.00,"A restored classic muscle car that stands out. Perfect for collectors and enthusiasts, it delivers raw power and a thrilling ride.","sita_verma","Red","Manual",8,"Used",2,"Bangalore","Petrol","https://upload.wikimedia.org/wikipedia/commons/4/4f/1969_Chevrolet_Camaro.jpg","FALSE"
"Electric SUV","Ford","Mustang Mach-E",2021,50000.00,"All-electric SUV with Mustang heritage. It blends sportiness with eco-friendliness, offering impressive range and performance.","anita_sharma","Gray","Automatic",300,"New",4,"Kolkata","Electric","https://upload.wikimedia.org/wikipedia/commons/e/e6/2021_Ford_Mustang_Mach-E.jpg","FALSE"
"City SUV","Mazda","CX-5",2020,32000.00,"Compact SUV with agile handling and a stylish design. Ideal for city driving while offering versatility for weekend adventures.","vikram_rao","Blue","Automatic",12,"Used",4,"Hyderabad","Petrol","https://upload.wikimedia.org/wikipedia/commons/a/a8/2020_Mazda_CX-5.jpg","FALSE"
"Convertible","BMW","Z4",2021,70000.00,"Sporty convertible that brings excitement to every drive. Experience the thrill of open-air motoring with luxurious touches.","priya_mishra","Black","Automatic",11,"New",2,"Pune","Petrol","https://upload.wikimedia.org/wikipedia/commons/0/09/2021_BMW_Z4.jpg","FALSE"
"Luxury sedan","Jaguar","XF",2019,55000.00,"Elegant sedan offering a perfect balance of luxury and performance. Enjoy a refined interior and cutting-edge technology.","aman_jain","White","Automatic",14,"Used",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/e/e2/2019_Jaguar_XF.jpg","FALSE"
"Compact SUV","Subaru","Forester",2020,30000.00,"Compact SUV with all-wheel drive capability. Offers a comfortable ride and spacious interior, perfect for outdoor adventures.","neha_chopra","Green","Automatic",11,"New",4,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/1/16/2020_Subaru_Forester.jpg","FALSE"
"Hybrid sedan","Toyota","Camry",2021,28000.00,"Fuel-efficient hybrid sedan that combines style and efficiency. Perfect for the eco-conscious driver who values comfort.","raj_kapoor","Silver","Automatic",15,"New",4,"Bangalore","Hybrid","https://upload.wikimedia.org/wikipedia/commons/1/1b/2021_Toyota_Camry.jpg","FALSE"
"Performance hatchback","Volkswagen","GTI",2019,35000.00,"Sporty hatchback that delivers thrilling performance. With agile handling and a practical design, it's perfect for driving enthusiasts.","sita_verma","Red","Manual",13,"Used",4,"Kolkata","Petrol","https://upload.wikimedia.org/wikipedia/commons/7/73/2019_Volkswagen_GTI.jpg","FALSE"
"Luxury SUV","Audi","Q7",2020,80000.00,"Luxurious SUV that combines space with performance. Features a refined interior and advanced technology for a premium experience.","anita_sharma","Black","Automatic",10,"Used",4,"Hyderabad","Diesel","https://upload.wikimedia.org/wikipedia/commons/e/ee/2020_Audi_Q7.jpg","FALSE"
"Electric sedan","Lucid","Air",2022,80000.00,"High-performance electric sedan that offers luxury and innovation. Experience cutting-edge technology and remarkable range.","vikram_rao","White","Automatic",300,"New",4,"Pune","Electric","https://upload.wikimedia.org/wikipedia/commons/b/bf/Lucid_Air.jpg","FALSE"
"Compact sedan","Kia","Forte",2020,20000.00,"Affordable compact sedan with a modern design. It delivers excellent fuel economy while providing comfort and reliability.","priya_mishra","Blue","Automatic",15,"Used",4,"Mumbai","Petrol","https://upload.wikimedia.org/wikipedia/commons/e/e2/2020_Kia_Forte.jpg","FALSE"
"Luxury coupe","Maserati","GranTurismo",2021,150000.00,"High-performance luxury coupe that epitomizes elegance and speed. Perfect for those who demand the best in automotive engineering.","aman_jain","Black","Automatic",9,"New",2,"Delhi","Petrol","https://upload.wikimedia.org/wikipedia/commons/d/d8/2021_Maserati_GranTurismo.jpg","FALSE"
"City car","Nissan","Versa",2018,15000.00,"Affordable city car with great fuel economy. Compact and easy to maneuver, it's perfect for urban driving.","neha_chopra","Gray","Automatic",16,"Used",4,"Bangalore","Petrol","https://upload.wikimedia.org/wikipedia/commons/6/67/2018_Nissan_Versa.jpg","FALSE"
"Family sedan","Honda","Accord",2020,28000.00,"Spacious and comfortable family sedan that offers a smooth ride. It combines practicality with a stylish design for daily commutes.","raj_kapoor","Silver","Automatic",15,"New",4,"Kolkata","Petrol","https://upload.wikimedia.org/wikipedia/commons/e/e8/2020_Honda_Accord.jpg","FALSE"
"Performance SUV","Porsche","Cayenne",2021,85000.00,"Performance SUV that excels in both luxury and off-road capability. Experience the thrill of driving with premium features and comfort.","sita_verma","Red","Automatic",12,"New",4,"Hyderabad","Petrol","https://upload.wikimedia.org/wikipedia/commons/b/b1/2021_Porsche_Cayenne.jpg","FALSE"
"Electric crossover","Hyundai","Ioniq 5",2022,40000.00,"Futuristic electric crossover that stands out on the road. Offers advanced technology and impressive range for eco-friendly driving.","anita_sharma","White","Automatic",300,"New",4,"Pune","Electric","https://upload.wikimedia.org/wikipedia/commons/2/2e/2022_Hyundai_Ioniq_5.jpg","FALSE"
